Страховщик,Город,Регион,Кол-во_сотрудников,Поликлиника,Стоматология,Скорая_помощь,Госпитализация,Вызов_врача_на_дом,Уровень
Зетта,Архангельск,да,1-10,25137,1857,24066,1868,5021,Стандарт
Зетта,Астрахань,да,1-10,16841,0,16223,1868,6131,Стандарт
Зетта,Барнаул,да,1-10,25302,2270,24040,0,9666,Стандарт
Зетта,Батайск,да,1-10,20344,2334,17690,3561,0,Стандарт
Зетта,Белгород,да,1-10,16816,0,19188,0,0,Стандарт
Зетта,Брянск,да,1-10,17547,1585,19214,0,0,Стандарт
Зетта,Великий Новгород,да,1-10,14215,1341,29946,0,0,Стандарт
Зетта,Владивосток,да,1-10,24294,0,26698,1868,9666,Стандарт
Зетта,Владимир,да,1-10,16348,1626,19994,0,0,Стандарт
Зетта,Волгоград,да,1-10,28907,2888,21963,1868,0,Стандарт
Зетта,Вологда,да,1-10,20755,2079,20708,0,0,Стандарт
Зетта,Воронеж,да,1-10,17402,1694,22046,1868,0,Стандарт
Зетта,Екатеринбург,да,1-10,28921,2885,26973,0,9666,Стандарт
Зетта,Иваново,да,1-10,17492,1887,22028,0,0,Стандарт
Зетта,Ижевск,да,1-10,29642,2976,19549,0,0,Стандарт
Зетта,Иркутск,да,1-10,30420,3040,22853,0,9666,Стандарт
Зетта,Казань,да,1-10,23908,2442,23463,1868,0,Стандарт
Зетта,Калининград,да,1-10,27219,2813,28221,1868,3773,Стандарт
Зетта,Калуга,да,1-10,23234,2334,24191,1868,0,Стандарт
Зетта,Кемерово,да,1-10,19792,1754,19425,0,19798,Стандарт
Зетта,Киров,да,1-10,23234,2334,24191,1868,0,Стандарт
Зетта,Кировск,да,1-10,26663,2538,31816,0,0,Стандарт
Зетта,Краснодар,да,1-10,31817,3185,29414,1868,9666,Стандарт
Зетта,Красноярск,да,1-10,35365,3403,27557,1868,0,Стандарт
Зетта,Курск,да,1-10,14523,1595,15604,0,0,Стандарт
Зетта,Липецк,да,1-10,21095,2118,19899,1868,0,Стандарт
Зетта,Мурманск,да,1-10,26663,2538,31816,0,0,Стандарт
Зетта,Набережные Челны,да,1-10,23908,2442,23463,1868,0,Стандарт
Зетта,Нижний Новгород,да,1-10,23302,2640,20175,2208,4804,Стандарт
Зетта,Нижний Тагил,да,1-10,28921,2885,26973,0,9666,Стандарт
Зетта,Новокузнецк,да,1-10,19792,1754,19425,0,19798,Стандарт
Зетта,Новороссийск,да,1-10,31817,3185,29414,1868,9666,Стандарт
Зетта,Новосибирск,да,1-10,46992,3946,28931,1868,25048,Стандарт
Зетта,Обнинск,да,1-10,23234,2334,24191,1868,0,Стандарт
Зетта,Омск,да,1-10,22094,2233,22942,1868,5659,Стандарт
Зетта,Оренбург,да,1-10,15531,1562,23234,1868,0,Стандарт
