Страховщик,Город,Регион,Кол-во_сотрудников,Поликлиника,Стоматология,Скорая_помощь,Госпитализация,Вызов_врача_на_дом,Уровень
Зетта,Архангельск,да,1-10,"25136,91","24066,33","1868,03","5021,12","1856,99",Комфорт
Зетта,Астрахань,да,1-10,"16841,44","16223,38","1868,03","6131,39",#Н/Д,Комфорт
Зетта,Барнаул,да,1-10,"25302,45","24039,86",#Н/Д,"9665,52","2269,66",Комфорт
Зетта,Батайск,да,1-10,"20344,1","17690,21","3561,24",#Н/Д,"2334,38",Комфорт
Зетта,Белгород,да,1-10,"16816,33","19188,16",#Н/Д,#Н/Д,#Н/Д,Комфорт
Зетта,Брянск,да,1-10,"17547,36","19214,2",#Н/Д,#Н/Д,"1585,11",Комфорт
Зетта,Великий Новгород,да,1-10,"14215,12","29945,55",#Н/Д,#Н/Д,"1341,34",Комфорт
Зетта,Владивосток,да,1-10,"24294,03","26697,57","1868,03","9665,52",#Н/Д,Комфорт
Зетта,Владимир,да,1-10,"16347,65","19994,04",#Н/Д,#Н/Д,"1625,95",Комфорт
Зетта,Волгоград,да,1-10,"28906,79","21962,82","1868,03",#Н/Д,"2888,09",Комфорт
Зетта,Вологда,да,1-10,"20754,82","20707,76",#Н/Д,#Н/Д,"2079,47",Комфорт
Зетта,Воронеж,да,1-10,"17402,1","22045,74","1868,03",#Н/Д,"1694,41",Комфорт
Зетта,Екатеринбург,да,1-10,"28920,96","26973,38",#Н/Д,"9665,52","2885,17",Комфорт
Зетта,Иваново,да,1-10,"17491,87","22028,24",#Н/Д,#Н/Д,"1886,94",Комфорт
Зетта,Ижевск,да,1-10,"29641,91","19548,5",#Н/Д,#Н/Д,"2975,61",Комфорт
Зетта,Иркутск,да,1-10,"30419,8","22852,81",#Н/Д,"9665,52","3039,78",Комфорт
Зетта,Казань,да,1-10,"23907,83","23463,46","1868,03",#Н/Д,"2441,68",Комфорт
Зетта,Калининград,да,1-10,"27219,27","28221,21","1868,03","3772,95","2812,71",Комфорт
Зетта,Калуга,да,1-10,"23233,98","24191,47","1868,03",#Н/Д,"2333,84",Комфорт
